,open_date,subject,neighborhood,Days_Open
95620,2022-03-08 08:46:00,Dept of Public Works,Kaisertown,362
95665,2022-01-28 14:00:00,Buffalo Police Department,Schiller Park,401
95703,2022-03-02 12:14:00,Dept of Public Works,Masten Park,368
95706,2022-03-08 10:26:00,Dept of Public Works,Hopkins-Tifft,362
95711,2022-02-22 10:21:00,Dept of Public Works,Elmwood Bidwell,376
95787,2022-02-28 11:43:00,Dept of Public Works,Elmwood Bidwell,370
95862,2022-03-08 09:27:00,Dept of Public Works,Hopkins-Tifft,362
95908,2022-02-22 13:04:00,Dept of Public Works,Lovejoy,376
95928,2022-02-23 12:33:00,Dept of Law,UNKNOWN,375
96058,2022-03-01 14:24:00,Dept of Public Works,South Park,369
96066,2022-03-08 14:40:00,Dept of Public Works,Kensington-Bailey,362
96098,2022-02-17 11:55:00,Dept of Public Works,Masten Park,381
96104,2022-03-01 16:16:00,Dept of Public Works,Central Park,369
96121,2022-03-10 09:38:00,Dept of Public Works,South Park,360
96122,2022-02-24 10:27:00,Dept of Public Works,Central,374
96226,2022-02-22 09:55:00,Dept of Public Works,Lovejoy,376
96235,2022-03-02 10:35:00,Dept of Public Works,Broadway Fillmore,368
96245,2022-01-13 19:00:00,Buffalo Police Department,Central,416
96276,2022-02-24 13:16:00,Dept of Public Works,South Park,374
96299,2022-03-07 15:15:00,Dept of Public Works,Lower West Side,363
96313,2022-03-08 13:21:00,Dept of Law,UNKNOWN,362
96318,2022-02-24 12:26:00,Dept of Public Works,Lovejoy,374
96462,2022-03-02 10:48:00,Dept of Public Works,Riverside,368
96476,2022-02-17 08:00:00,Dept of Public Works,Central,381
96526,2022-03-03 10:05:00,Dept of Public Works,Allentown,367
96537,2022-02-22 09:24:00,Dept of Public Works,Delavan Grider,376
96615,2022-03-03 15:39:00,Dept of Public Works,Kenfield,367
96622,2022-03-01 12:08:00,Dept of Public Works,Pratt-Willert,369
96653,2022-03-03 13:50:00,Dept of Public Works,Broadway Fillmore,367
96738,2022-03-07 14:17:00,Dept of Public Works,Fruit Belt,363
96767,2022-02-21 20:15:00,Dept of Law,UNKNOWN,377
96804,2022-01-30 22:30:00,Buffalo Police Department,Allentown,399
96819,2022-03-02 09:55:00,Dept of Public Works,South Park,368
96871,2022-02-19 12:35:00,Dept of Law,UNKNOWN,379
96919,2022-03-08 08:38:00,Dept of Public Works,Central,362
96933,2022-03-02 18:57:00,Dept of Law,UNKNOWN,368
96937,2022-02-21 12:07:00,Dept of Law,UNKNOWN,377
96987,2022-02-22 13:39:00,Dept of Law,UNKNOWN,376
97074,2022-03-08 18:34:00,Dept of Public Works,University Heights,362
97129,2022-02-22 15:02:00,Dept of Public Works,Elmwood Bryant,376
97148,2022-03-07 09:01:00,Dept of Public Works,Hopkins-Tifft,363
97152,2022-03-10 16:14:00,Dept of Public Works,Fruit Belt,360
97183,2022-03-02 09:53:00,Dept of Public Works,South Park,368
97245,2022-03-08 09:14:00,Dept of Public Works,South Park,362
97252,2022-02-18 14:58:00,Dept of Public Works,Broadway Fillmore,380
97256,2022-02-22 09:34:00,Dept of Public Works,Riverside,376
97257,2022-02-22 13:29:00,Dept of Public Works,Grant-Amherst,376
97290,2022-03-07 14:41:00,Dept of Public Works,UNKNOWN,363
97381,2022-02-25 08:47:00,Dept of Public Works,Seneca Babcock,373
97430,2022-03-10 08:47:00,Dept of Public Works,Schiller Park,360
97440,2022-02-16 15:04:00,Dept of Public Works,Riverside,382
97481,2022-03-07 15:36:00,Dept of Public Works,University Heights,363
97498,2022-02-22 18:40:00,Dept of Public Works,Lovejoy,376
97582,2022-02-25 09:43:00,Dept of Public Works,First Ward,373
97612,2022-03-10 08:45:00,Dept of Public Works,Kensington-Bailey,360
97619,2022-02-18 10:00:00,Dept of Public Works,Central,380
97659,2022-02-17 11:42:00,Dept of Public Works,Fillmore-Leroy,381
97718,2022-03-07 12:21:00,Dept of Public Works,North Park,363
97747,2022-03-01 10:09:00,Dept of Public Works,Upper West Side,369
97859,2022-03-02 09:56:00,Dept of Public Works,South Park,368
97962,2022-02-17 09:03:00,Dept of Public Works,Upper West Side,381
98004,2022-02-28 14:41:00,Dept of Public Works,Seneca-Cazenovia,370
98006,2022-02-24 10:17:00,Dept of Law,UNKNOWN,374
98031,2022-03-03 12:28:00,Dept of Public Works,Broadway Fillmore,367
98033,2022-02-25 11:46:00,Dept of Public Works,Elmwood Bryant,373
98098,2022-02-16 10:32:00,Dept of Public Works,Central,382
98114,2022-03-01 10:06:00,Dept of Public Works,Riverside,369
98132,2022-03-03 17:09:00,Dept of Public Works,Hopkins-Tifft,367
98135,2022-02-18 13:22:00,Dept of Public Works,Central,380
98152,2022-03-04 14:21:00,Dept of Law,UNKNOWN,366
98154,2022-02-18 10:57:00,Utilities,Hopkins-Tifft,380
98221,2022-03-02 02:16:00,Dept of Law,UNKNOWN,368
98278,2022-03-03 09:10:00,Dept of Public Works,North Park,367
98281,2022-03-07 15:56:00,Dept of Public Works,Broadway Fillmore,363
98294,2022-03-09 13:08:00,Dept of Public Works,Parkside,361
98324,2022-02-28 13:33:00,Dept of Public Works,North Park,370
98343,2022-02-23 09:57:00,Dept of Public Works,Hamlin Park,375
98377,2022-03-04 16:10:00,Dept of Public Works,MLK Park,366
98390,2022-02-22 16:06:00,Dept of Public Works,Fruit Belt,376
98397,2022-03-07 16:17:00,Dept of Public Works,Parkside,363
98401,2022-02-25 06:10:00,Dept of Public Works,Upper West Side,373
98440,2022-02-23 08:50:00,Dept of Public Works,Broadway Fillmore,375
98454,2022-03-02 09:54:00,Dept of Public Works,South Park,368
98463,2022-02-21 12:13:00,Dept of Law,UNKNOWN,377
98466,2022-02-23 11:06:00,Dept of Law,UNKNOWN,375
98524,2022-02-16 12:56:00,Dept of Public Works,Grant-Amherst,382
98525,2022-02-24 14:50:00,Dept of Law,UNKNOWN,374
98535,2022-02-17 13:00:00,Dept of Public Works,Delavan Grider,381
98556,2022-03-10 15:12:00,Dept of Public Works,Central,360
98643,2022-03-02 13:39:00,Dept of Law,UNKNOWN,368
98697,2022-03-10 09:40:00,Dept of Public Works,Hopkins-Tifft,360
98729,2022-03-01 10:12:00,Dept of Public Works,Upper West Side,369
98883,2022-02-27 18:25:00,Dept of Public Works,Seneca Babcock,371
98895,2022-03-11 15:59:00,Dept of Public Works,Schiller Park,359
98916,2022-03-01 16:12:00,Dept of Public Works,Genesee-Moselle,369
98937,2022-03-07 09:02:00,Dept of Public Works,Fillmore-Leroy,363
98940,2022-03-08 14:42:00,Dept of Law,UNKNOWN,362
98947,2022-03-02 09:58:00,Dept of Public Works,South Park,368
98965,2022-03-02 14:41:00,Dept of Public Works,University Heights,368
99019,2022-02-22 10:18:00,Dept of Public Works,Hamlin Park,376
99048,2022-03-09 09:27:00,Dept of Public Works,Central,361
99055,2022-03-01 12:45:00,Office of the Mayor,University Heights,369
99056,2022-02-23 08:13:00,Dept of Public Works,UNKNOWN,375
99089,2022-03-10 12:41:00,Dept of Public Works,North Park,360
99094,2022-03-10 09:38:00,Dept of Public Works,South Park,360
99103,2022-01-12 15:15:00,Utilities,South Park,417
99109,2022-03-10 09:53:00,Dept of Public Works,Fillmore-Leroy,360
99165,2022-02-19 17:41:00,Dept of Public Works,South Park,379
99190,2022-08-23 23:00:00,Office of the Mayor,West Side,193
99219,2022-08-28 20:14:00,Dept of Law,UNKNOWN,189
99257,2022-08-24 08:50:00,Dept of Public Works,Broadway Fillmore,193
99286,2022-08-24 11:19:00,Dept of Law,UNKNOWN,193
99331,2022-09-15 15:21:00,Dept of Law,UNKNOWN,171
99394,2022-09-04 21:56:00,Dept of Law,UNKNOWN,182
99396,2022-08-24 11:41:00,Dept of Public Works,Broadway Fillmore,193
99425,2022-08-24 16:22:00,Dept of Law,UNKNOWN,193
99480,2022-08-24 14:51:00,Dept of Public Works,Elmwood Bidwell,193
99481,2022-08-24 11:21:00,Dept of Public Works,North Park,193
99498,2022-08-24 15:56:00,Dept of Law,UNKNOWN,193
99531,2022-08-24 16:12:00,Dept of Public Works,Upper West Side,193
